Function,Dimension,Runs,Mean,Median,Std,Best,Worst,Success_Count,Success_Rate,Avg_Iterations,Avg_Evaluations,Avg_Runtime
Ackley,2,30,6.475570137561467e-06,6.71436926014124e-06,2.5897042508838966e-06,1.5228904470809823e-06,9.88841840099397e-06,30,100.0,95.26666666666667,2888.0,0.09760851065317787
Ackley,10,30,8.75765096196209e-06,8.95291956171107e-06,9.719867627198948e-07,5.789437509395867e-06,9.959157193595304e-06,30,100.0,213.93333333333334,6448.0,0.2210651795069376
Ackley,30,30,1.3702336013853704,1.5018052705562828,1.1348375149282819,0.0010956773914228,3.4038850759371155,0,0.0,300.0,15050.0,0.5230446577072143
Rastrigin,2,30,0.00402126190603087,0.0034640801318203502,0.0028475578060766925,5.478544743908742e-05,0.0092351373837047,30,100.0,31.566666666666666,977.0,0.02989993890126542
Rastrigin,10,30,9.29235726964911,7.959667419766632,5.565836974559225,0.9949590581203438,30.84347729414172,0,0.0,300.0,9030.0,0.2656660318374634
Rastrigin,30,30,66.26971441116997,62.23093638588571,19.625877120907493,33.834041780334985,113.49617443579996,0,0.0,300.0,15050.0,0.4563049077987671
Rosenbrock,2,30,0.00536153174725147,0.0066799718883156,0.0029595325416007616,0.0001211085151908,0.0092058275583213,30,100.0,16.3,519.0,0.01613579591115311
Rosenbrock,10,30,4.2077908262191155,3.887250889446525,1.4591939096540287,2.3550456225349072,7.800692111218989,0,0.0,300.0,9030.0,0.2813786745071411
Rosenbrock,30,30,31.535352727165964,25.552904432856394,30.191548249388195,22.241195376308845,191.1736124624852,0,0.0,300.0,15050.0,0.47707114219665525
Sphere,2,30,4.811114059204872e-07,5.463393886038023e-07,3.642780787139814e-07,1.3466076110347181e-08,9.791384330683372e-07,30,100.0,37.43333333333333,1153.0,0.027530757586161254
Sphere,10,30,7.930519705111506e-07,8.033690645574151e-07,1.523440042698825e-07,3.860436113658923e-07,9.880485101514483e-07,30,100.0,115.26666666666667,3488.0,0.08521211942036944
Sphere,30,30,1.0869609610225595e-06,9.246022802891855e-07,6.958259886601535e-07,6.476979841691983e-07,4.393255139095672e-06,27,90.0,272.6333333333333,13681.666666666666,0.3383172353108724
