function,dimension,run_id,seed,n_particles,best_fitness,converged,iterations,convergence_iteration,evaluations,runtime
Sphere,30,1,4085,50,1.0765946457168962e-06,False,300,,15050,0.5622951984405518
Sphere,30,2,5085,50,8.974173146594991e-07,True,287,287.0,14400,0.5299587249755859
Sphere,30,3,6085,50,8.589156725207452e-07,True,271,271.0,13600,0.5203163623809814
Sphere,30,4,7085,50,8.420508603018194e-07,True,271,271.0,13600,0.5329079627990723
Sphere,30,5,8085,50,4.8167373270687625e-06,False,300,,15050,0.6128249168395996
Sphere,30,6,9085,50,9.279463243305152e-07,True,256,256.0,12850,0.4840106964111328
Sphere,30,7,10085,50,8.925460303059377e-07,True,257,257.0,12900,0.4287428855895996
Sphere,30,8,11085,50,1.3676685481592146e-06,False,300,,15050,0.4502286911010742
Sphere,30,9,12085,50,9.755445646377558e-07,True,297,297.0,14900,0.4569859504699707
Sphere,30,10,13085,50,9.423959202458084e-07,True,284,284.0,14250,0.4609055519104004
Sphere,30,11,14085,50,2.5784512277533775e-06,False,300,,15050,0.42906999588012695
Sphere,30,12,15085,50,9.940882061008936e-07,True,240,240.0,12050,0.3510019779205322
Sphere,30,13,16085,50,8.441541355708697e-07,True,293,293.0,14700,0.4646482467651367
Sphere,30,14,17085,50,9.25949621534633e-07,True,275,275.0,13800,0.42685389518737793
Sphere,30,15,18085,50,9.628658872398767e-07,True,254,254.0,12750,0.46132707595825195
Sphere,30,16,19085,50,9.713044168757023e-07,True,292,292.0,14650,0.5212781429290771
Sphere,30,17,20085,50,8.814545718652352e-07,True,273,273.0,13700,0.4105548858642578
Sphere,30,18,21085,50,9.847669093290685e-07,True,283,283.0,14200,0.44316959381103516
Sphere,30,19,22085,50,9.321826510354533e-07,True,254,254.0,12750,0.40474772453308105
Sphere,30,20,23085,50,9.821058661812758e-07,True,254,254.0,12750,0.3673818111419678
Sphere,30,21,24085,50,8.875061831676376e-07,True,280,280.0,14050,0.44330859184265137
Sphere,30,22,25085,50,9.867665253128466e-07,True,285,285.0,14300,0.39915013313293457
Sphere,30,23,26085,50,9.979236463062016e-07,True,273,273.0,13700,0.4363124370574951
Sphere,30,24,27085,50,9.590548027192064e-07,True,291,291.0,14600,0.4382169246673584
Sphere,30,25,28085,50,8.669969112772744e-07,True,277,277.0,13900,0.3978004455566406
Sphere,30,26,29085,50,9.679617959735188e-07,True,282,282.0,14150,0.4013533592224121
Sphere,30,27,30085,50,8.758284272606373e-07,True,281,281.0,14100,0.4201328754425049
Sphere,30,28,31085,50,8.803017580677879e-07,True,276,276.0,13850,0.3997836112976074
Sphere,30,29,32085,50,9.575140156932402e-07,True,265,265.0,13300,0.368257999420166
Rosenbrock,2,0,286,30,0.0070209649338844275,True,7,7.0,240,0.008482217788696289
Rosenbrock,2,1,1286,30,0.004553152948597075,True,21,21.0,660,0.028641700744628906
Rosenbrock,2,2,2286,30,0.0065838484072194845,True,9,9.0,300,0.004800558090209961
Rosenbrock,2,3,3286,30,0.0037205393073068056,True,11,11.0,360,0.015552282333374023
Rosenbrock,2,4,4286,30,0.006389241632055962,True,19,19.0,600,0.012882471084594727
Rosenbrock,2,5,5286,30,0.006379790940206057,True,9,9.0,300,0.0
Rosenbrock,2,6,6286,30,0.006042050708008208,True,18,18.0,570,0.031836509704589844
Rosenbrock,2,7,7286,30,0.007070952756445605,True,1,1.0,60,0.003031015396118164
Rosenbrock,2,8,8286,30,0.007217776093227316,True,12,12.0,390,0.01726078987121582
Rosenbrock,2,9,9286,30,0.00715757782235529,True,22,22.0,690,0.029259920120239258
Rosenbrock,2,10,10286,30,0.007854465452074967,True,42,42.0,1290,0.06327509880065918
Rosenbrock,2,11,11286,30,0.007387475630121848,True,10,10.0,330,0.01125192642211914
Rosenbrock,2,12,12286,30,0.0066475485515154805,True,17,17.0,540,0.03360390663146973
Rosenbrock,2,13,13286,30,0.009880753380011502,True,40,40.0,1230,0.043761253356933594
Rosenbrock,2,14,14286,30,0.009404450076985716,True,78,78.0,2370,0.0894019603729248
Rosenbrock,2,15,15286,30,0.0029168818418283775,True,18,18.0,570,0.019072771072387695
Rosenbrock,2,16,16286,30,0.00487350971494549,True,16,16.0,510,0.018778324127197266
Rosenbrock,2,17,17286,30,0.0037011549595894954,True,27,27.0,840,0.030400514602661133
Rosenbrock,2,18,18286,30,0.008969485919159807,True,30,30.0,930,0.031462669372558594
Rosenbrock,2,19,19286,30,0.0004728569446988509,True,12,12.0,390,0.01636219024658203
Rosenbrock,2,20,20286,30,0.004306130736982242,True,25,25.0,780,0.030358314514160156
Rosenbrock,2,21,21286,30,0.0028157647046750988,True,21,21.0,660,0.027771472930908203
Rosenbrock,2,22,22286,30,0.006087837230351287,True,9,9.0,300,0.006309986114501953
Rosenbrock,2,23,23286,30,0.0070568035057552245,True,2,2.0,90,0.008105754852294922
Rosenbrock,2,24,24286,30,0.005668195813823615,True,30,30.0,930,0.029739856719970703
Rosenbrock,2,25,25286,30,0.004898603024492283,True,19,19.0,600,0.025484561920166016
Rosenbrock,2,26,26286,30,0.0007722077711181995,True,3,3.0,120,0.0
Rosenbrock,2,27,27286,30,0.006735694565872935,True,39,39.0,1200,0.055319786071777344
Rosenbrock,2,28,28286,30,0.0015366846705060558,True,19,19.0,600,0.03292584419250488
Rosenbrock,2,29,29286,30,0.005848899081111166,True,24,24.0,750,0.053793907165527344
Rosenbrock,10,0,1086,30,3.6055155162288335,False,300,,9030,0.4033687114715576
Rosenbrock,10,1,2086,30,3.9211348196601215,False,300,,9030,0.3330097198486328
Rosenbrock,10,2,3086,30,7.668141764997482,False,300,,9030,0.32526445388793945
Rosenbrock,10,3,4086,30,3.6749175378059613,False,300,,9030,0.3526184558868408
Rosenbrock,10,4,5086,30,3.9172824165712896,False,300,,9030,0.3518528938293457
Rosenbrock,10,5,6086,30,4.021725900241854,False,300,,9030,0.3337421417236328
Rosenbrock,10,6,7086,30,4.147568791714974,False,300,,9030,0.37978196144104004
Rosenbrock,10,7,8086,30,3.331283877351221,False,300,,9030,0.36284303665161133
Rosenbrock,10,8,9086,30,4.114591929485808,False,300,,9030,0.3477134704589844
Rosenbrock,10,9,10086,30,2.808106953311716,False,300,,9030,0.33087158203125
Rosenbrock,10,10,11086,30,4.06818106165841,False,300,,9030,0.3741719722747803
Rosenbrock,10,11,12086,30,3.928180345909045,False,300,,9030,0.35018277168273926
Rosenbrock,10,12,13086,30,2.0510638833901638,False,300,,9030,0.3410797119140625
Rosenbrock,10,13,14086,30,3.9127802489309906,False,300,,9030,0.3947641849517822
Rosenbrock,10,14,15086,30,6.980210629726806,False,300,,9030,0.3854494094848633
Rosenbrock,10,15,16086,30,2.5987046050295985,False,300,,9030,0.3497450351715088
Rosenbrock,10,16,17086,30,3.4719533508781284,False,300,,9030,0.35998106002807617
Rosenbrock,10,17,18086,30,3.6760121845364013,False,300,,9030,0.3431065082550049
Rosenbrock,10,18,19086,30,3.9130317298114594,False,300,,9030,0.33640050888061523
Rosenbrock,10,19,20086,30,2.233207694459523,False,300,,9030,0.39191150665283203
Rosenbrock,10,20,21086,30,4.05973868935674,False,300,,9030,0.3886229991912842
Rosenbrock,10,21,22086,30,3.081879750465088,False,300,,9030,0.3568446636199951
Rosenbrock,10,22,23086,30,0.23542373900493185,False,300,,9030,0.3262603282928467
Rosenbrock,10,23,24086,30,2.8343220205115145,False,300,,9030,0.3648805618286133
Rosenbrock,10,24,25086,30,3.6339661606703535,False,300,,9030,0.3380091190338135
Rosenbrock,10,25,26086,30,3.9600041691421843,False,300,,9030,0.4122452735900879
Rosenbrock,10,26,27086,30,3.7726539238061,False,300,,9030,0.3467118740081787
Rosenbrock,10,27,28086,30,4.0018989721300136,False,300,,9030,0.3275642395019531
Rosenbrock,10,28,29086,30,3.608194374543868,False,300,,9030,0.4058365821838379
Rosenbrock,10,29,30086,30,0.18755879006755127,False,300,,9030,0.3673989772796631
Rosenbrock,30,0,3086,50,25.700232393581665,False,300,,15050,0.594078779220581
Rosenbrock,30,1,4086,50,25.63721513359574,False,300,,15050,0.6038744449615479
Rosenbrock,30,2,5086,50,25.252095171896894,False,300,,15050,0.6257593631744385
Rosenbrock,30,3,6086,50,25.743217293262447,False,300,,15050,0.5716531276702881
Rosenbrock,30,4,7086,50,16.737215885526716,False,300,,15050,0.6360671520233154
Rosenbrock,30,5,8086,50,24.988772602252137,False,300,,15050,0.6162817478179932
Rosenbrock,30,6,9086,50,26.188980072153107,False,300,,15050,0.6226162910461426
Rosenbrock,30,7,10086,50,25.999084960523213,False,300,,15050,0.6199095249176025
Rosenbrock,30,8,11086,50,26.028774881942418,False,300,,15050,0.590346097946167
Rosenbrock,30,9,12086,50,25.625380522636995,False,300,,15050,0.5672993659973145
Rosenbrock,30,10,13086,50,25.646720018547633,False,300,,15050,0.623631477355957
Rosenbrock,30,11,14086,50,25.60834817574639,False,300,,15050,0.5875270366668701
Rosenbrock,30,12,15086,50,40.64037541962231,False,300,,15050,0.6622300148010254
Rosenbrock,30,13,16086,50,25.29980128082695,False,300,,15050,0.6107311248779297
Rosenbrock,30,14,17086,50,25.76265580241147,False,300,,15050,0.663585901260376
Rosenbrock,30,15,18086,50,28.6847867806324,False,300,,15050,0.7183575630187988
Rosenbrock,30,16,19086,50,28.995051033880745,False,300,,15050,0.5750188827514648
Rosenbrock,30,17,20086,50,25.38887167521863,False,300,,15050,0.6135575771331787
Rosenbrock,30,18,21086,50,29.194987551959215,False,300,,15050,0.5682291984558105
Rosenbrock,30,19,22086,50,79.09730359466238,False,300,,15050,0.6869215965270996
Rosenbrock,30,20,23086,50,25.55080369924711,False,300,,15050,0.5726823806762695
Rosenbrock,30,21,24086,50,28.23263614897162,False,300,,15050,0.5865468978881836
Rosenbrock,30,22,25086,50,25.139100072875493,False,300,,15050,0.6289639472961426
Rosenbrock,30,23,26086,50,28.522135628918274,False,300,,15050,0.6815564632415771
Rosenbrock,30,24,27086,50,25.3697905891124,False,300,,15050,0.6181783676147461
Rosenbrock,30,25,28086,50,25.41032899018943,False,300,,15050,0.6003994941711426
Rosenbrock,30,26,29086,50,26.108548028445693,False,300,,15050,0.6147339344024658
Rosenbrock,30,27,30086,50,25.176943057635576,False,300,,15050,0.5750539302825928
Rosenbrock,30,28,31086,50,28.193088100985154,False,300,,15050,0.5871849060058594
Rosenbrock,30,29,32086,50,28.036817398514167,False,300,,15050,0.5543038845062256
Rastrigin,2,0,316,30,0.005649013656615409,True,25,25.0,780,0.032074928283691406
Rastrigin,2,1,1316,30,0.00017964466237074816,True,25,25.0,780,0.01746201515197754
Rastrigin,2,2,2316,30,0.0007551068079223455,True,33,33.0,1020,0.037766218185424805
Rastrigin,2,3,3316,30,0.004367164352228059,True,33,33.0,1020,0.03205704689025879
Rastrigin,2,4,4316,30,0.0015792666208582773,True,25,25.0,780,0.03148794174194336
Rastrigin,2,5,5316,30,0.008687817017833055,True,31,31.0,960,0.04056406021118164
Rastrigin,2,6,6316,30,0.0071164036913415885,True,46,46.0,1410,0.05852532386779785
Rastrigin,2,7,7316,30,0.007731878799170033,True,53,53.0,1620,0.062459468841552734
Rastrigin,2,8,8316,30,0.0053425919032576985,True,45,45.0,1380,0.07359766960144043
Rastrigin,2,9,9316,30,0.008143958371810811,True,26,26.0,810,0.03921985626220703
Rastrigin,2,10,10316,30,0.004160590498543115,True,43,43.0,1320,0.04502105712890625
Rastrigin,2,11,11316,30,0.0025466528754023443,True,65,65.0,1980,0.07028603553771973
Rastrigin,2,12,12316,30,0.005025687853631666,True,15,15.0,480,0.015865325927734375
Rastrigin,2,13,13316,30,0.0006657126009201875,True,27,27.0,840,0.031095027923583984
Rastrigin,2,14,14316,30,0.008219438623520148,True,41,41.0,1260,0.05496668815612793
Rastrigin,2,15,15316,30,0.0015136946126474982,True,40,40.0,1230,0.04531121253967285
Rastrigin,2,16,16316,30,0.00215883290605845,True,20,20.0,630,0.02386474609375
Rastrigin,2,17,17316,30,0.0016848898346708552,True,31,31.0,960,0.03182411193847656
Rastrigin,2,18,18316,30,0.005952125856019563,True,29,29.0,900,0.032560110092163086
Rastrigin,2,19,19316,30,0.00022914511286131756,True,35,35.0,1080,0.04051637649536133
Rastrigin,2,20,20316,30,0.0025175876653804607,True,19,19.0,600,0.020652055740356445
Rastrigin,2,21,21316,30,0.005234024683637983,True,24,24.0,750,0.024742603302001953
Rastrigin,2,22,22316,30,0.0012554302444556242,True,30,30.0,930,0.0219113826751709
Rastrigin,2,23,23316,30,0.0029693650806734695,True,24,24.0,750,0.021445274353027344
Rastrigin,2,24,24316,30,0.0014120364415539655,True,46,46.0,1410,0.045172691345214844
Rastrigin,2,25,25316,30,0.0039614686088143,True,33,33.0,1020,0.0324556827545166
Rastrigin,2,26,26316,30,0.008603612449071818,True,31,31.0,960,0.041069984436035156
Rastrigin,2,27,27316,30,0.0024241722196407522,True,32,32.0,990,0.058960914611816406
Rastrigin,2,28,28316,30,0.0033847006677802938,True,15,15.0,480,0.01638960838317871
Rastrigin,2,29,29316,30,0.004145306958832862,True,34,34.0,1050,0.02089977264404297
Rastrigin,10,0,1116,30,7.959667418927268,False,300,,9030,0.3734760284423828
Rastrigin,10,1,2116,30,7.959690254228576,False,300,,9030,0.3401784896850586
Rastrigin,10,2,3116,30,8.954621438548486,False,300,,9030,0.3134956359863281
Rastrigin,10,3,4116,30,1.9899181145899547,False,300,,9030,0.3372371196746826
Rastrigin,10,4,5116,30,3.979836228494335,False,300,,9030,0.35077810287475586
Rastrigin,10,5,6116,30,5.969754813633131,False,300,,9030,0.31404614448547363
Rastrigin,10,6,7116,30,4.974795285486806,False,300,,9030,0.31545519828796387
Rastrigin,10,7,8116,30,9.949585533167479,False,300,,9030,0.39095306396484375
Rastrigin,10,8,9116,30,0.009565645711148818,True,240,240.0,7230,0.2542235851287842
Rastrigin,10,9,10116,30,7.959672457159314,False,300,,9030,0.33413147926330566
Rastrigin,10,10,11116,30,8.95474145041456,False,300,,9030,0.36336636543273926
Rastrigin,10,11,12116,30,12.934457666840274,False,300,,9030,0.35237860679626465
Rastrigin,10,12,13116,30,3.9798362284605275,False,300,,9030,0.3207981586456299
Rastrigin,10,13,14116,30,2.9855155548642784,False,300,,9030,0.335768461227417
Rastrigin,10,14,15116,30,4.974804791875499,False,300,,9030,0.32053470611572266
Rastrigin,10,15,16116,30,9.949585533124406,False,300,,9030,0.3204314708709717
Rastrigin,10,16,17116,30,10.960991552763375,False,300,,9030,0.3294246196746826
Rastrigin,10,17,18116,30,3.9798362283737703,False,300,,9030,0.3534581661224365
Rastrigin,10,18,19116,30,17.909161906651136,False,300,,9030,0.3338651657104492
Rastrigin,10,19,20116,30,10.945268327023712,False,300,,9030,0.32671117782592773
Rastrigin,10,20,21116,30,3.979836229457547,False,300,,9030,0.3770625591278076
Rastrigin,10,21,22116,30,3.979844771627441,False,300,,9030,0.3193991184234619
Rastrigin,10,22,23116,30,4.974829012234849,False,300,,9030,0.387176513671875
Rastrigin,10,23,24116,30,8.954626476035386,False,300,,9030,0.36780738830566406
Rastrigin,10,24,25116,30,10.944539616935614,False,300,,9030,0.3434112071990967
Rastrigin,10,25,26116,30,7.959667418930252,False,300,,9030,0.39104580879211426
Rastrigin,10,26,27116,30,13.92939652695587,False,300,,9030,0.29171109199523926
Rastrigin,10,27,28116,30,3.97983622847201,False,300,,9030,0.3164632320404053
Rastrigin,10,28,29116,30,18.904181737607757,False,300,,9030,0.3168482780456543
Rastrigin,10,29,30116,30,12.934457666921716,False,300,,9030,0.3177049160003662
Rastrigin,30,0,3116,50,92.62877211217273,False,300,,15050,0.5699784755706787
Rastrigin,30,1,4116,50,67.69256031787654,False,300,,15050,0.5758476257324219
Rastrigin,30,2,5116,50,68.6526913719166,False,300,,15050,0.58699631690979
Rastrigin,30,3,6116,50,45.76824068036166,False,300,,15050,0.5408976078033447
Rastrigin,30,4,7116,50,36.813989424336626,False,300,,15050,0.556814432144165
Rastrigin,30,5,8116,50,67.65695191477349,False,300,,15050,0.5519001483917236
Rastrigin,30,6,9116,50,41.791993473371235,False,300,,15050,0.5414900779724121
Rastrigin,30,7,10116,50,99.57004214730591,False,300,,15050,0.537484884262085
Rastrigin,30,8,11116,50,79.59658149399425,False,300,,15050,0.5628011226654053
Rastrigin,30,9,12116,50,98.63806353001189,False,300,,15050,0.5633969306945801
Rastrigin,30,10,13116,50,69.71886096948268,False,300,,15050,0.5720176696777344
Rastrigin,30,11,14116,50,68.66290297021294,False,300,,15050,0.5240387916564941
Rastrigin,30,12,15116,50,70.64279329242405,False,300,,15050,0.5767621994018555
Rastrigin,30,13,16116,50,69.64843766414029,False,300,,15050,0.6196260452270508
Rastrigin,30,14,17116,50,91.53586878408854,False,300,,15050,0.616008996963501
Rastrigin,30,15,18116,50,57.70752997705492,False,300,,15050,0.5834197998046875
Rastrigin,30,16,19116,50,90.54113452249479,False,300,,15050,0.6049878597259521
Rastrigin,30,17,20116,50,75.69351343712452,False,300,,15050,0.621035099029541
Rastrigin,30,18,21116,50,83.68044244922359,False,300,,15050,0.5400536060333252
Rastrigin,30,19,22116,50,94.592206453704,False,300,,15050,0.5798261165618896
Rastrigin,30,20,23116,50,84.57202541653345,False,300,,15050,0.5462868213653564
Rastrigin,30,21,24116,50,83.64739382066651,False,300,,15050,0.5620408058166504
Rastrigin,30,22,25116,50,60.69392887349028,False,300,,15050,0.7019021511077881
Rastrigin,30,23,26116,50,83.57752019229355,False,300,,15050,0.5884490013122559
Rastrigin,30,24,27116,50,67.65731188912892,False,300,,15050,0.6192328929901123
Rastrigin,30,25,28116,50,54.723955352352704,False,300,,15050,0.5649652481079102
Rastrigin,30,26,29116,50,34.8544076193657,False,300,,15050,0.5378890037536621
Rastrigin,30,27,30116,50,49.74820251985483,False,300,,15050,0.5485992431640625
Rastrigin,30,28,31116,50,70.71305658954964,False,300,,15050,0.6192271709442139
Rastrigin,30,29,32116,50,52.90685316993094,False,300,,15050,0.5756125450134277
Ackley,2,0,304,30,7.911900628432278e-06,True,97,97.0,2940,0.10043740272521973
Ackley,2,1,1304,30,6.14194431536319e-06,True,100,100.0,3030,0.14328336715698242
Ackley,2,2,2304,30,7.598630678007368e-06,True,93,93.0,2820,0.12934064865112305
Ackley,2,3,3304,30,8.063922451118088e-06,True,99,99.0,3000,0.1194617748260498
Ackley,2,4,4304,30,5.862674602230555e-06,True,86,86.0,2610,0.10182976722717285
Ackley,2,5,5304,30,2.7750063833487104e-06,True,88,88.0,2670,0.12101244926452637
Ackley,2,6,6304,30,9.944485082957755e-06,True,93,93.0,2820,0.10969424247741699
Ackley,2,7,7304,30,6.450229502963367e-06,True,108,108.0,3270,0.15621685981750488
Ackley,2,8,8304,30,9.178588034064461e-06,True,95,95.0,2880,0.10632014274597168
Ackley,2,9,9304,30,7.923228168227325e-06,True,97,97.0,2940,0.1106865406036377
