seed,best_value,weight_used,runtime_s,iters_to_best
0,970,970,1.1193718910217285,0
1,970,970,1.1114306449890137,0
2,970,970,1.1073815822601318,0
3,970,970,1.1158862113952637,0
4,970,970,1.1070880889892578,0
5,970,970,1.1184093952178955,0
6,970,970,1.1065130233764648,0
7,970,970,1.1166331768035889,0
8,970,970,1.1140964031219482,0
9,970,970,1.096198320388794,0
