,F1_spam,Precision_spam,Recall_spam,F1_macro,Ham_FPR,ConfusionMatrix,AP,ROC_AUC
Validation,0.9169435215946844,0.9139072847682119,0.92,0.9519917193250768,0.013471502590673576,"[[952, 13], [12, 138]]",0.9613280157330638,0.9884006908462866
Test,0.9473684210526315,0.9290322580645162,0.9664429530201343,0.9695305241296387,0.011387163561076604,"[[955, 11], [5, 144]]",0.9861236970329023,0.9925590895827254
