Set,NSA_F1_spam,NSA_Precision_spam,NSA_Recall_spam,NSA_ROC_AUC,NSA_PR_AUC,Baseline_F1_spam,Baseline_ROC_AUC,Baseline_PR_AUC
Validation,0.6698795180722892,0.5245283018867924,0.9266666666666666,0.9461312607944732,0.8425997213585495,0.9169435215946844,0.9884006908462866,0.9613280157330638
Test,0.684863523573201,0.5433070866141733,0.9261744966442953,0.9519224088818485,0.8836445739459038,0.9473684210526315,0.9925590895827254,0.9861236970329023
