,F1_spam,Precision_spam,Recall_spam,F1_macro,Ham_FPR,ConfusionMatrix,AP,ROC_AUC
Validation,0.6698795180722892,0.5245283018867924,0.9266666666666666,0.7971987122041886,0.1305699481865285,"[[839, 126], [11, 139]]",0.8425997213585495,0.9461312607944732
Test,0.684863523573201,0.5433070866141733,0.9261744966442953,0.8076753304784451,0.12008281573498965,"[[850, 116], [11, 138]]",0.8836445739459038,0.9519224088818485
